"generated_at","topic_id","id.dataset","id.ressource","title.ressource","format.ressource","url.ressource","created_at.ressource","last_modified.ressource","column_name","column_datatype","python_type","score","nb_distinct","nb_missing_values","top_1","top_2","top_3"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","4cf7f64a-a107-409b-afc9-06972425b1a5","FREQUENTATION TOTALE MDF 2001 à 2016_data_def.xlsx","xlsx","https://static.data.gouv.fr/resources/frequentation-des-musees-de-france-1/20250827-121955/frequentation-totale-mdf-2001-a-2016-data-def9.xlsx","2018-05-10T06:06:54.067000+00:00","2025-08-27T12:19:55.614000+00:00","2008","string","string","1.0","1013","34","F","NC","SO"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","4cf7f64a-a107-409b-afc9-06972425b1a5","FREQUENTATION TOTALE MDF 2001 à 2016_data_def.xlsx","xlsx","https://static.data.gouv.fr/resources/frequentation-des-musees-de-france-1/20250827-121955/frequentation-totale-mdf-2001-a-2016-data-def9.xlsx","2018-05-10T06:06:54.067000+00:00","2025-08-27T12:19:55.614000+00:00","2009","string","string","1.0","1005","33","F","NC","5372"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","4cf7f64a-a107-409b-afc9-06972425b1a5","FREQUENTATION TOTALE MDF 2001 à 2016_data_def.xlsx","xlsx","https://static.data.gouv.fr/resources/frequentation-des-musees-de-france-1/20250827-121955/frequentation-totale-mdf-2001-a-2016-data-def9.xlsx","2018-05-10T06:06:54.067000+00:00","2025-08-27T12:19:55.614000+00:00","2010","string","string","1.0","1007","30","F","NC","SO"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","4cf7f64a-a107-409b-afc9-06972425b1a5","FREQUENTATION TOTALE MDF 2001 à 2016_data_def.xlsx","xlsx","https://static.data.gouv.fr/resources/frequentation-des-musees-de-france-1/20250827-121955/frequentation-totale-mdf-2001-a-2016-data-def9.xlsx","2018-05-10T06:06:54.067000+00:00","2025-08-27T12:19:55.614000+00:00","2011","string","string","1.0","991","23","F","NC","SO"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","4cf7f64a-a107-409b-afc9-06972425b1a5","FREQUENTATION TOTALE MDF 2001 à 2016_data_def.xlsx","xlsx","https://static.data.gouv.fr/resources/frequentation-des-musees-de-france-1/20250827-121955/frequentation-totale-mdf-2001-a-2016-data-def9.xlsx","2018-05-10T06:06:54.067000+00:00","2025-08-27T12:19:55.614000+00:00","2012","string","string","1.0","983","27","F","NC","4860"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","4cf7f64a-a107-409b-afc9-06972425b1a5","FREQUENTATION TOTALE MDF 2001 à 2016_data_def.xlsx","xlsx","https://static.data.gouv.fr/resources/frequentation-des-musees-de-france-1/20250827-121955/frequentation-totale-mdf-2001-a-2016-data-def9.xlsx","2018-05-10T06:06:54.067000+00:00","2025-08-27T12:19:55.614000+00:00","2013","string","string","1.0","972","21","F","NC","0"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","4cf7f64a-a107-409b-afc9-06972425b1a5","FREQUENTATION TOTALE MDF 2001 à 2016_data_def.xlsx","xlsx","https://static.data.gouv.fr/resources/frequentation-des-musees-de-france-1/20250827-121955/frequentation-totale-mdf-2001-a-2016-data-def9.xlsx","2018-05-10T06:06:54.067000+00:00","2025-08-27T12:19:55.614000+00:00","2014","string","string","1.0","972","24","F","NC","0"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","4cf7f64a-a107-409b-afc9-06972425b1a5","FREQUENTATION TOTALE MDF 2001 à 2016_data_def.xlsx","xlsx","https://static.data.gouv.fr/resources/frequentation-des-musees-de-france-1/20250827-121955/frequentation-totale-mdf-2001-a-2016-data-def9.xlsx","2018-05-10T06:06:54.067000+00:00","2025-08-27T12:19:55.614000+00:00","2015","string","string","1.0","962","20","F","NC","0"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","4cf7f64a-a107-409b-afc9-06972425b1a5","FREQUENTATION TOTALE MDF 2001 à 2016_data_def.xlsx","xlsx","https://static.data.gouv.fr/resources/frequentation-des-musees-de-france-1/20250827-121955/frequentation-totale-mdf-2001-a-2016-data-def9.xlsx","2018-05-10T06:06:54.067000+00:00","2025-08-27T12:19:55.614000+00:00","2016","string","string","1.0","930","24","F","NC","0"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","4cf7f64a-a107-409b-afc9-06972425b1a5","FREQUENTATION TOTALE MDF 2001 à 2016_data_def.xlsx","xlsx","https://static.data.gouv.fr/resources/frequentation-des-musees-de-france-1/20250827-121955/frequentation-totale-mdf-2001-a-2016-data-def9.xlsx","2018-05-10T06:06:54.067000+00:00","2025-08-27T12:19:55.614000+00:00","Unnamed: 21","string","string","1.0","6","1233","Ouvert lors des JEP","Retrait d'appellation en 2017","Changement de nom (haut conseil - 2017)"
